127.0.0.1 - - [09/Apr/2017:17:23:43 +0400] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [09/Apr/2017:17:23:43 +0400] "GET /CarService/ HTTP/1.1" 200 560
0:0:0:0:0:0:0:1 - - [09/Apr/2017:17:23:43 +0400] "GET /CarService/ HTTP/1.1" 200 560
0:0:0:0:0:0:0:1 - - [09/Apr/2017:17:23:44 +0400] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [09/Apr/2017:17:23:45 +0400] "GET /CarService/ HTTP/1.1" 200 560
0:0:0:0:0:0:0:1 - - [09/Apr/2017:17:23:53 +0400] "POST /CarService/menu HTTP/1.1" 200 386
0:0:0:0:0:0:0:1 - - [09/Apr/2017:17:23:57 +0400] "GET /CarService/client_addorder?action=getaddorderpage HTTP/1.1" 200 1603
0:0:0:0:0:0:0:1 - - [09/Apr/2017:17:24:05 +0400] "POST /CarService/client_addorder HTTP/1.1" 200 976
0:0:0:0:0:0:0:1 - - [09/Apr/2017:17:24:18 +0400] "GET /CarService/menu?action=getclientmenu HTTP/1.1" 200 386
0:0:0:0:0:0:0:1 - - [09/Apr/2017:17:24:19 +0400] "GET /CarService/login?action=logout HTTP/1.1" 200 560
0:0:0:0:0:0:0:1 - - [09/Apr/2017:17:24:26 +0400] "POST /CarService/menu HTTP/1.1" 200 583
0:0:0:0:0:0:0:1 - - [09/Apr/2017:17:24:36 +0400] "GET /CarService/admin_shareparts?action=getallshareparts HTTP/1.1" 200 1187
0:0:0:0:0:0:0:1 - - [09/Apr/2017:17:24:38 +0400] "GET /CarService/menu?action=getadminmenu HTTP/1.1" 200 583
0:0:0:0:0:0:0:1 - - [09/Apr/2017:17:24:45 +0400] "GET /CarService/admin_orders?action=getallorders HTTP/1.1" 200 2058
0:0:0:0:0:0:0:1 - - [09/Apr/2017:17:24:54 +0400] "GET /CarService/admin_deleteorder?action=getorderdeletepage&orderid=114&orderguid=a15c9937-db4e-45f1-afaa-2476c4a3a6d9&ordertotalcost=3200.0&orderworkstatus=NotStarted HTTP/1.1" 200 950
0:0:0:0:0:0:0:1 - - [09/Apr/2017:17:24:56 +0400] "POST /CarService/admin_orders HTTP/1.1" 200 1238
0:0:0:0:0:0:0:1 - - [09/Apr/2017:17:24:58 +0400] "GET /CarService/menu?action=getadminmenu HTTP/1.1" 200 583
0:0:0:0:0:0:0:1 - - [09/Apr/2017:17:25:00 +0400] "GET /CarService/admin_shareparts?action=getallshareparts HTTP/1.1" 200 1190
0:0:0:0:0:0:0:1 - - [09/Apr/2017:17:25:01 +0400] "GET /CarService/menu?action=getadminmenu HTTP/1.1" 200 583
0:0:0:0:0:0:0:1 - - [09/Apr/2017:17:25:04 +0400] "GET /CarService/login?action=logout HTTP/1.1" 200 560
0:0:0:0:0:0:0:1 - - [09/Apr/2017:17:25:11 +0400] "POST /CarService/menu HTTP/1.1" 200 386
0:0:0:0:0:0:0:1 - - [09/Apr/2017:17:25:12 +0400] "GET /CarService/client_addorder?action=getaddorderpage HTTP/1.1" 200 1603
0:0:0:0:0:0:0:1 - - [09/Apr/2017:17:25:17 +0400] "POST /CarService/client_addorder HTTP/1.1" 200 976
0:0:0:0:0:0:0:1 - - [09/Apr/2017:17:25:20 +0400] "GET /CarService/menu?action=getclientmenu HTTP/1.1" 200 386
0:0:0:0:0:0:0:1 - - [09/Apr/2017:17:25:21 +0400] "GET /CarService/login?action=logout HTTP/1.1" 200 560
0:0:0:0:0:0:0:1 - - [09/Apr/2017:17:25:26 +0400] "POST /CarService/menu HTTP/1.1" 200 583
0:0:0:0:0:0:0:1 - - [09/Apr/2017:17:25:28 +0400] "GET /CarService/admin_orders?action=getallorders HTTP/1.1" 200 2058
